grid_id,value
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,1.000000
17,1.000000
18,1.000000
19,1.000000
20,1.000000
21,1.000000
22,1.000000
23,1.000000
24,1.000000
25,1.000000
26,1.000000
27,2.000000
28,2.000000
29,2.000000
30,2.000000
31,2.000000
32,2.000000
33,2.000000
34,3.000000
35,3.000000
36,3.000000
37,3.000000
38,3.000000
39,3.000000
40,4.000000
41,4.000000
42,4.000000
43,4.000000
44,5.000000
45,5.000000
46,5.000000
47,6.000000
48,6.000000
49,7.000000
50,7.000000
51,7.000000
52,8.000000
53,8.000000
54,8.000000
55,8.000000
56,8.000000
57,8.000000
58,8.000000
59,8.000000
60,8.000000
61,8.000000
62,8.000000
63,8.000000
64,8.000000
65,8.000000
66,8.000000
67,8.000000
68,8.000000
69,8.000000
70,8.000000
71,8.000000
72,8.000000
73,8.000000
74,8.000000
75,8.000000
76,8.000000
77,8.000000
78,8.000000
79,8.000000
80,8.000000
81,8.000000
82,8.000000
83,8.000000
84,8.000000
85,8.000000
86,8.000000
87,8.000000
88,8.000000
89,8.000000
90,8.000000
91,8.000000
92,8.000000
93,8.000000
94,8.000000
95,8.000000
96,8.000000
97,8.000000
98,8.000000
99,8.000000
100,8.000000
101,8.000000
102,8.000000
103,7.000000
104,7.000000
105,7.000000
106,7.000000
107,7.000000
108,7.000000
109,7.000000
110,7.000000
111,7.000000
112,7.000000
113,7.000000
114,7.000000
115,7.000000
116,7.000000
117,7.000000
118,7.000000
119,7.000000
120,7.000000
121,7.000000
122,7.000000
123,7.000000
124,7.000000
125,7.000000
126,7.000000
127,7.000000
128,7.000000
129,7.000000
130,7.000000
131,7.000000
132,7.000000
133,7.000000
134,7.000000
135,7.000000
136,7.000000
137,7.000000
138,7.000000
139,7.000000
140,7.000000
141,7.000000
142,7.000000
143,7.000000
144,7.000000
145,7.000000
146,7.000000
147,7.000000
148,7.000000
149,7.000000
150,7.000000
151,7.000000
152,7.000000
153,7.000000
154,7.000000
155,7.000000
156,6.000000
157,6.000000
158,5.000000
159,5.000000
160,4.000000
161,4.000000
162,3.000000
163,3.000000
164,3.000000
165,2.000000
166,2.000000
167,2.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,0.000000
174,0.000000
175,0.000000
176,0.000000
177,0.000000
178,0.000000
179,0.000000
180,0.000000
181,0.000000
182,0.000000
183,0.000000
184,0.000000
185,0.000000
186,0.000000
187,0.000000
188,0.000000
189,0.000000
190,0.000000
191,0.000000
192,1.000000
193,1.000000
194,1.000000
195,1.000000
196,1.000000
197,1.000000
198,1.000000
199,1.000000
200,1.000000
201,1.000000
202,2.000000
203,2.000000
204,2.000000
205,2.000000
206,2.000000
207,2.000000
208,2.000000
209,2.000000
210,3.000000
211,3.000000
212,3.000000
213,3.000000
214,3.000000
